Order No,Order Date,Order Year,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Order Quantity,Cost Price,Retail Price,Profit Margin,Total
5014-1,2/11/2013,2013,Patrick Jones,"221 Barkly St,St Kilda",Melbourne,VIC,Home Office,Yvette Biti,High,Artisan Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Small Box,29,$3.52 ,$5.58 ,$2.06 ,$159.96 
5016-1,2/11/2013,2013,Alex Russell,"101/12 Victoria Ave, Perth",Melbourne,VIC,Home Office,Connor Betts,High,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,29,$2.39 ,$4.26 ,$1.87 ,$121.03 
5018-1,2/12/2013,2013,Tamara Dahlen,"61 York St,Sydney",Sydney,NSW,Corporate,Leighton Forrest,Critical,"Message Book, One Form per Page",Office Supplies,Wrap Bag,42,$2.41 ,$3.71 ,$1.30 ,$146.84 
5019-1,2/13/2013,2013,Susan Vittorini,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,High,Cando S750 Color Inkjet Printer,Technology,Jumbo Drum,6,$75.00 ,$120.97 ,$45.97 ,$694.05 
5020-1,2/14/2013,2013,Muhammed Yedwab,"18 Whistler St,Sydney",Sydney,NSW,Consumer,Nicholas Fernandes,Critical,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Wrap Bag,17,$0.90 ,$2.10 ,$1.20 ,$35.33 
5023-1,2/17/2013,2013,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,Low,12 Colored Short Pencils,Office Supplies,Wrap Bag,47,$1.09 ,$2.60 ,$1.51 ,$112.38 
5024-1,2/18/2013,2013,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Corporate,Phoebe Gour,Critical,Multimedia Mailers,Office Supplies,Small Box,32,$99.39 ,$162.93 ,$63.54 ,"$4,764.51 "
5025-1,2/20/2013,2013,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Consumer,Phoebe Gour,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,33,$1.09 ,$1.68 ,$0.59 ,$54.22 
5027-1,2/22/2013,2013,Toby Swindell,"273 George Street,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Not Specified,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,8,$54.29 ,$90.48 ,$36.19 ,$693.16 
5029-1,2/23/2013,2013,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Corporate,Natasha Song,Not Specified,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,48,$5.33 ,$8.60 ,$3.27 ,$418.99 
5031-1,2/25/2013,2013,Paul Prost,"120 Hardware St,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Medium,Security-Tint Envelopes,Office Supplies,Small Box,18,$4.89 ,$7.64 ,$2.75 ,$125.16 
5033-1,2/25/2013,2013,Katherine Ducich,"61A Bay Road,Wollstonecraft",Sydney,NSW,Corporate,Samantha Chairs,Medium,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,3,$54.29 ,$90.48 ,$36.19 ,$283.29 
5034-1,2/26/2013,2013,Natalie Webber,"98-104 Parramatta Rd,Camperdown",Sydney,NSW,Corporate,Phoebe Gour,High,Artisan Arch Ring Binders,Office Supplies,Small Box,50,$36.02 ,$58.10 ,$22.08 ,"$2,761.24 "
5036-1,3/7/2013,2013,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Critical,OIC Thumb-Tacks,Office Supplies,Wrap Bag,50,$0.71 ,$1.14 ,$0.43 ,$54.28 
5037-1,3/11/2013,2013,Art Foster,"14 Money Street, Perth",Sydney,NSW,Home Office,Stevie Bacata,Critical,Apex Elite Stainless Steel Scissors,Office Supplies,Small Pack,16,$3.42 ,$8.34 ,$4.92 ,$132.08 
5038-1,3/13/2013,2013,Darren Powers,"120 Hardware St,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Low,OIC Thumb-Tacks,Office Supplies,Wrap Bag,38,$0.71 ,$1.14 ,$0.43 ,$43.15 
5039-1,3/15/2013,2013,Michael Grace,"402 Argyle St,Moss Vale",Sydney,NSW,Corporate,Natasha Song,Medium,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,22,$4.59 ,$7.28 ,$2.69 ,$169.71 
5040-1,3/16/2013,2013,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Low,"Steady Colorific Colored Pencils, 12/Box",Office Supplies,Wrap Bag,48,$1.30 ,$2.88 ,$1.58 ,$129.57 
5043-1,3/23/2013,2013,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,High,Smiths Gold Paper Clips,Office Supplies,Wrap Bag,22,$1.82 ,$2.98 ,$1.16 ,$64.52 
5045-1,3/26/2013,2013,Mick Brown,"523 King St,Newtown",Sydney,NSW,Consumer,Aanya Zhang,Not Specified,UGen RF Keyboard,Technology,Small Box,30,$81.59 ,$159.99 ,$78.40 ,"$4,757.20 "
5047-1,3/27/2013,2013,Edward Becker,"501 George St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,Low,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,37,$5.33 ,$8.60 ,$3.27 ,$311.66 
5048-1,3/27/2013,2013,Erica Smith,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Medium,Smiths Standard Envelopes,Office Supplies,Small Box,24,$3.52 ,$5.68 ,$2.16 ,$129.53 
5049-1,3/30/2013,2013,Justin Knight,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Office Shears by Apex,Office Supplies,Small Pack,4,$0.94 ,$2.08 ,$1.14 ,$10.71 
5050-1,4/19/2013,2013,Craig Carroll,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,Connor Betts,Not Specified,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,36,$5.33 ,$8.60 ,$3.27 ,$297.21 
5052-1,4/20/2013,2013,Laura Armstrong,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Not Specified,EcoTones Memo Sheets,Office Supplies,Wrap Bag,31,$2.52 ,$4.00 ,$1.48 ,$124.06 
5055-1,4/27/2013,2013,Noah Childs,"78 Stanley St,Darlinghurst",Sydney,NSW,Home Office,Phoebe Gour,High,Smiths Premium Bright 1-Part Blank Computer Paper,Office Supplies,Small Box,29,$7.61 ,$12.28 ,$4.67 ,$362.47 
5057-1,4/28/2013,2013,Rob Haberlin,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Medium,Artisan 479 Labels,Office Supplies,Small Box,9,$1.59 ,$2.61 ,$1.02 ,$22.58 
5059-1,4/28/2013,2013,Barry Weirich,"1/20 Pendal Lane, Perth",Sydney,NSW,Corporate,Charlie Bui,Medium,Beekin 105-Key Black Keyboard,Technology,Small Box,7,$6.39 ,$19.98 ,$13.59 ,$142.46 
5060-1,4/30/2013,2013,Kelly Williams,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Medium,Adesso Programmable 142-Key Keyboard,Technology,Small Box,16,$32.02 ,$152.48 ,$120.46 ,"$2,199.71 "
5061-1,4/30/2013,2013,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,Mihael Khan,Not Specified,Smiths Premium Bright 1-Part Blank Computer Paper,Office Supplies,Small Box,27,$7.61 ,$12.28 ,$4.67 ,$327.96 
5062-1,4/30/2013,2013,Pamela Stobb,"273 George Street,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Not Specified,TechSavi Access Keyboard,Technology,Small Box,39,$10.07 ,$15.98 ,$5.91 ,$571.13 
5063-1,5/1/2013,2013,William Brown,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Smiths SlimLine Pencil Sharpener,Office Supplies,Small Pack,7,$4.79 ,$11.97 ,$7.18 ,$85.41 
5064-1,5/2/2013,2013,Nat Carroll,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Artisan Premier Heavy-Duty Binder with Round Locking Rings,Office Supplies,Small Box,42,$8.71 ,$14.28 ,$5.57 ,$542.77 
5066-1,5/2/2013,2013,Troy Staebel,"1-2/299 Sussex St,Sydney",Sydney,NSW,Small Business,Aanya Zhang,Critical,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,15,$54.29 ,$90.48 ,$36.19 ,"$1,309.33 "
5068-1,5/3/2013,2013,Dario Medina,"60 York St,Sydney",Sydney,NSW,Small Business,Charlie Bui,Critical,Smiths Standard Envelopes,Office Supplies,Small Box,20,$3.52 ,$5.68 ,$2.16 ,$107.04 
5070-1,5/4/2013,2013,Lynn Smith,"61A Bay Road,Wollstonecraft",Sydney,NSW,Corporate,Samantha Chairs,Critical,Steady Liquid Accent Highlighters,Office Supplies,Wrap Bag,41,$3.47 ,$6.68 ,$3.21 ,$253.47 
5071-1,5/5/2013,2013,Christopher Schild,"4A Lyons St,Strathfield",Sydney,NSW,Corporate,Tina Carlton,Medium,"Laser Neon Mac Format Diskettes, 10/Pack",Technology,Small Pack,41,$1.87 ,$2.23 ,$0.36 ,$88.59 
5071-2,5/5/2013,2013,Christopher Schild,"4A Lyons St,Strathfield",Sydney,NSW,Corporate,Tina Carlton,Medium,Steady Liquid Accent Highlighters,Office Supplies,Wrap Bag,2,$3.47 ,$6.68 ,$3.21 ,$14.73 
5075-1,5/5/2013,2013,Dave Kipp,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Low,TechSavi Access Keyboard,Technology,Small Box,34,$10.07 ,$15.98 ,$5.91 ,$492.99 
5077-1,5/7/2013,2013,Grant Carroll,"10 O'Connell St,Sydney",Sydney,NSW,Small Business,Aanya Zhang,Not Specified,Smiths SlimLine Pencil Sharpener,Office Supplies,Small Pack,18,$4.79 ,$11.97 ,$7.18 ,$204.03 
5079-1,5/9/2013,2013,Liz Pelletier,"79 Elliott St,Balmain",Sydney,NSW,Home Office,Aanya Zhang,Critical,1726 Digital Answering Machine,Technology,Medium Box,8,$8.82 ,$20.99 ,$12.17 ,$157.62 
5081-1,5/9/2013,2013,Thea Hudgings,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,18,$1.09 ,$1.68 ,$0.59 ,$29.43 
5084-1,5/13/2013,2013,Alex Russell,"101/12 Victoria Ave, Perth",Melbourne,VIC,Home Office,Connor Betts,Medium,EcoTones Memo Sheets,Office Supplies,Wrap Bag,19,$2.52 ,$4.00 ,$1.48 ,$70.46 
5086-1,5/14/2013,2013,Eudokia Martin,"412 Brunswick St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,26,$13.88 ,$22.38 ,$8.50 ,$538.79 
5087-1,5/14/2013,2013,Scot Wooten,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,Natasha Song,Not Specified,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Wrap Bag,45,$21.56 ,$36.55 ,$14.99 ,"$1,494.17 "
5089-1,5/15/2013,2013,Jenna Caffey,"470 Anzac Parade,Kingsford",Sydney,NSW,Consumer,Tina Carlton,High,600 Series Non-Flip,Technology,Small Box,14,$19.78 ,$45.99 ,$26.21 ,$635.97 
